frame_index,file,acquisition_order,X,Y,R,reference_file,success,fail_reason,n_ref_edges,n_mov_edges,n_used_edges,ncc_dx_ref_to_frame_px,ncc_dy_ref_to_frame_px,ncc_peak,ncc_fit_ok,ncc_edge_peak,init_align_dx_px,init_align_dy_px,refined_align_dx_px,refined_align_dy_px,refined_shift_norm_px,before_fit_chamfer_px,before_holdout_chamfer_px,init_fit_chamfer_px,init_holdout_chamfer_px,refined_fit_chamfer_px,refined_holdout_chamfer_px,holdout_improvement_pct,gradient_corr_before,gradient_corr_refined,gradient_corr_gain,stage0a_delta_dx_px,stage0a_delta_dy_px
0,10_0_0.txt,9,10.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.3692861691585798,2.2516141370719644,0.9482821822166444,True,False,1.3692861691585798,-2.2516141370719644,1.369286298751831,-2.2516140937805176,2.29330780363126,0.7437531448897392,0.7220018573940785,0.1709310430879662,0.1643720256969543,0.1286678261527448,0.1233371060058248,82.91734228344156,0.5840864181518555,0.9491842985153198,0.3650978803634643,0.2500001192092895,-0.25
1,12_0_0.txt,10,12.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.282373497517445,2.3047176437656742,0.9508817195892334,True,False,1.282373497517445,-2.3047176437656742,1.2823736667633057,-2.2547175884246826,2.299491168493231,0.7433252347829064,0.749401176382913,0.1601863855573394,0.1665686263171391,0.1141587302482552,0.1135467942362249,84.84832986461615,0.5673073530197144,0.9489542841911316,0.3816469311714172,0.2500001192092895,-0.2000000476837158
2,14_0_0.txt,11,14.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.191319264561962,2.3419480897158147,0.952393352985382,True,False,1.191319264561962,-2.3419480897158147,1.2413194179534912,-2.291948080062866,2.293976627583882,0.7541829696580296,0.7682779606075347,0.1588949315487773,0.1574129237201978,0.1276123667786419,0.1267924132898396,83.49654424687968,0.5511050224304199,0.9503816962242126,0.3992766737937927,0.3000001311302185,-0.2000000476837158
3,16_0_0.txt,12,16.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.1068104970930217,2.3968508606647627,0.950387477874756,True,False,1.1068104970930217,-2.3968508606647627,1.1568105220794678,-2.396850824356079,2.4153670723954845,0.7850701874267907,0.781233435888561,0.159840820636495,0.1546243247860055,0.1460386495341758,0.139855686143883,82.09809261622122,0.5310069918632507,0.958327054977417,0.4273200631141662,0.0500000715255737,-0.25
4,18_0_0.txt,13,18.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-1.009308126533487,2.435732902992752,0.9476515650749208,True,False,1.009308126533487,-2.435732902992752,1.0093082189559937,-2.435732841491699,2.407515569526324,0.7872857078219822,0.7834135856014738,0.152793068751671,0.1436494399804551,0.1441571384842056,0.1353404625302253,82.72426403911335,0.5105522871017456,0.9568862915039062,0.4463340044021606,1.1920928955078125e-07,-0.25
5,20_0_0.txt,14,20.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.93628020103941,2.534275003879905,0.944662868976593,True,False,0.93628020103941,-2.534275003879905,0.8862802982330322,-2.4842748641967773,2.937483261584454,0.8114792192025353,0.8015676374424209,0.1554403048016125,0.1604179798966896,0.1517716421876293,0.1594663340855726,80.10569206681231,0.4894747734069824,0.9538362622261048,0.4643614888191223,-0.0499998927116394,0.3000001907348633
6,24_0_0.txt,15,24.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.7654112325108505,2.63539212577753,0.949476957321167,True,False,0.7654112325108505,-2.63539212577753,0.7654112577438354,-2.6353919506073,3.058847444807959,0.8467160842239154,0.8520315914752663,0.1629650325006962,0.1634255187762,0.1268627842804026,0.1274422374243059,85.04254552303118,0.4465118646621704,0.9458678364753724,0.4993559718132019,-0.25,0.2500002384185791
7,28_0_0.txt,16,28.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.6171016865469282,2.756274742321563,0.9475520849227904,True,False,0.6171016865469282,-2.756274742321563,0.6171016693115234,-2.756274461746216,3.12882616345701,0.8960011060686263,0.8748850853355963,0.1672380518498628,0.166780295055251,0.1350216502893071,0.1356268781550583,84.4977494269395,0.4074978232383728,0.945109486579895,0.5376116633415222,-0.25,0.2500002384185791
8,32_0_0.txt,17,32.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.4017016854963249,2.8981989766165586,0.9481440186500548,True,False,0.4017016854963249,-2.8981989766165586,0.4017018377780914,-2.848198890686035,2.902166554394095,0.9357392623718572,0.9361350309044616,0.1577046928343378,0.1557340859421856,0.1453531760011842,0.1413235583428033,84.90350711411138,0.3749547302722931,0.955929398536682,0.580974668264389,0.2500001490116119,0.0500001907348632
9,36_0_0.txt,18,36.0,0.0,0,6_16_0.txt,True,ok,9072,9072,8000,-0.2422162098462055,3.0222784916474885,0.9601716995239258,True,False,0.2422162098462055,-3.0222784916474885,0.2422163635492324,-3.0222785472869873,3.0222885150931864,1.00660611107935,0.9966449701380308,0.1162849666975234,0.1211606116359847,0.0866497132708823,0.0878293451366759,91.18749928326916,0.348240315914154,0.9589146971702576,0.6106743812561035,0.2500001490116119,0.0
